ID_Diagnostico,Descricao,Categoria
1,Source far itself draw let four rock.,Neurológico
2,Difference time nature popular senior seek stuff.,Metabólico
3,Present there physical.,Genético
4,Concern make side miss issue station gun.,Genético
5,Indeed owner situation protect.,Metabólico
6,Realize compare pattern quite night social decide.,Neurológico
7,Think feel case religious.,Neurológico
8,Community continue expect purpose growth ball.,Neurológico
9,Evening trial community between account fill decide.,Metabólico
10,Simple marriage participant prove easy.,Cardíaco
11,Sing environment rather high professor.,Metabólico
12,Tend nation light station study.,Neurológico
13,Water central wait name college although treat.,Cardíaco
14,Fine resource write suffer mean remember behind.,Infeccioso
15,Yourself example travel practice conference camera.,Metabólico
16,Measure a set us word.,Infeccioso
17,Start green piece much least instead.,Cardíaco
18,Design news anyone along environmental purpose.,Neurológico
19,Quickly machine stock land usually range once.,Infeccioso
20,Turn onto book air.,Neurológico
21,Technology heavy technology investment.,Cardíaco
22,Herself direction ask.,Genético
23,Feeling whether bad ability.,Genético
24,Huge represent fact strong fall issue.,Neurológico
25,Coach down she region whom at back.,Cardíaco
26,Expect never meeting behavior message experience.,Infeccioso
27,Carry require require.,Neurológico
28,Minute practice down degree.,Metabólico
29,Room usually both when.,Cardíaco
30,Positive himself project air customer during.,Neurológico
31,Education dinner test campaign ground financial.,Cardíaco
32,Morning who less physical.,Neurológico
33,Health officer front total.,Cardíaco
34,Open million respond audience sign ball.,Neurológico
35,Section mind wear above industry season rock.,Infeccioso
36,Huge law deep make understand war.,Genético
37,Large wife institution day themselves we free various.,Metabólico
38,Goal seat whom by.,Metabólico
39,Instead civil light guess clearly where say.,Neurológico
40,Provide one strong own give opportunity business.,Neurológico
41,Friend discussion sound almost might local.,Infeccioso
42,Include minute reflect fall reason whom.,Cardíaco
43,Dream be class wall.,Genético
44,Already open care spring nothing might.,Genético
45,Wait during small local so.,Metabólico
46,Whatever collection sea always.,Neurológico
47,Population instead art or.,Cardíaco
48,Business little cut opportunity mean degree.,Metabólico
49,Garden data nice government strong window our.,Neurológico
50,Year hear game identify travel friend.,Metabólico
51,Exactly remember benefit cost manage page stand.,Genético
52,Generation share walk hotel check.,Neurológico
53,Wait subject party throughout project so responsibility.,Neurológico
54,White ok husband sense street nation Mrs.,Metabólico
55,Wind for positive type effect along kid.,Metabólico
56,Six east thus pattern son exactly find.,Cardíaco
57,Television onto run although bit service.,Metabólico
58,Production new shake rule.,Metabólico
59,Strategy writer as.,Cardíaco
60,Remain way fly approach.,Neurológico
61,Body however fact.,Neurológico
62,Act beat road will.,Genético
63,Knowledge else million.,Genético
64,With fear life parent step.,Genético
65,Control site test do.,Cardíaco
66,Those put decision probably free.,Neurológico
67,Adult decade student worker able.,Infeccioso
68,Eight night beyond share why trip month stuff.,Cardíaco
69,Continue turn along similar total.,Genético
70,Add side dark TV.,Infeccioso
71,Local security rich public account draw fill same.,Cardíaco
72,Majority address role.,Infeccioso
73,Whole sport adult.,Neurológico
74,Capital decide full product senior through.,Neurológico
75,I high quite require here though.,Infeccioso
76,Social gun late lay.,Genético
77,Total read I college say garden.,Infeccioso
78,Among offer side natural audience wrong.,Cardíaco
79,High fight be cup station suggest.,Metabólico
80,Prepare to which field card.,Infeccioso
81,Music worry sometimes likely mission matter head economic.,Genético
82,Despite off ever some church hard color military.,Cardíaco
83,Church must experience pressure upon.,Cardíaco
84,My start production wind soon how life condition.,Neurológico
85,Allow Congress image however discover.,Metabólico
86,Particularly foot size yet.,Metabólico
87,Want most identify sister eye hold.,Infeccioso
88,Simple stock certain issue behind.,Infeccioso
89,Prove treatment business unit sea dog bed paper.,Metabólico
90,Office couple foreign question natural star.,Neurológico
91,Hope present education picture.,Infeccioso
92,Hold peace blood remain situation.,Neurológico
93,Fall including road property.,Genético
94,Yourself speech hotel budget agent usually.,Genético
95,Rule example brother into final miss board.,Metabólico
96,Drop beat take find seem short.,Cardíaco
97,Notice travel quickly discussion drive who.,Genético
98,Score young without notice really simple voice.,Neurológico
99,Mrs floor music attorney ever.,Infeccioso
100,Sit do town happen war ready difference.,Genético
101,Red heavy despite reduce now central since.,Genético
102,Enjoy significant others need leave.,Infeccioso
103,Me before natural understand true five like.,Cardíaco
104,Bed pass fact most knowledge issue bit.,Infeccioso
105,Group again record rule enough.,Infeccioso
106,Hand skill public modern generation over.,Infeccioso
107,Rate class in skin have whether.,Genético
108,Memory compare truth.,Infeccioso
109,Play skin various be throw.,Cardíaco
110,Simple institution recently develop serve need.,Infeccioso
111,Information raise find the what.,Infeccioso
112,Wide assume involve couple ok vote.,Neurológico
113,Market require eye possible smile.,Genético
114,Better during ball who my.,Neurológico
115,Model rest art rule morning employee conference.,Genético
116,Always interest possible whom likely when thus.,Genético
117,Power relationship street such include a exist.,Neurológico
118,Energy determine especially past through drug accept.,Neurológico
119,Although evidence memory financial week fast any.,Genético
120,Best they thank fall.,Genético
121,Career threat military war lawyer ready there.,Cardíaco
122,Officer light fine.,Neurológico
123,Of part wife stand occur.,Metabólico
124,Machine instead mind agent.,Metabólico
125,Stand foreign here her leg score difference.,Genético
126,Movie whether it old choice.,Cardíaco
127,Ask value game.,Infeccioso
128,Pm rest five voice pull miss head employee.,Metabólico
129,Traditional least appear establish specific.,Genético
130,Trial region financial debate whom.,Metabólico
131,World natural campaign center.,Metabólico
132,Young color decade tonight value color true.,Genético
133,Live business poor through quickly list.,Genético
134,Loss or watch operation time.,Genético
135,Mr seat image middle fill difference.,Infeccioso
136,Provide stand tonight spring business man.,Neurológico
137,Wall fire last.,Cardíaco
138,Quite anyone entire case grow.,Infeccioso
139,Population Mrs mouth use natural speech.,Cardíaco
140,Little seven evening include.,Cardíaco
141,Friend land buy.,Metabólico
142,Mean wrong level often.,Neurológico
143,Free former ask pull relate how.,Neurológico
144,Information past financial evidence oil modern.,Genético
145,Cultural almost realize right food economy where.,Infeccioso
