ID_Medicamento,Nome,Tipo,Dosagem
1,Explain,Pomada,339mg
2,Give,Injeção,482mg
3,Station,Comprimido,7mg
4,Degree,Xarope,325mg
5,Service,Pomada,134mg
6,Wall,Xarope,281mg
7,Significant,Pomada,498mg
8,Mrs,Pomada,163mg
9,The,Xarope,476mg
10,Account,Pomada,279mg
11,Image,Xarope,229mg
12,Where,Comprimido,269mg
13,Style,Comprimido,416mg
14,Mr,Injeção,187mg
15,Table,Comprimido,392mg
16,Special,Comprimido,442mg
17,Discover,Comprimido,97mg
18,Skill,Injeção,290mg
19,Item,Pomada,76mg
20,Rest,Xarope,48mg
21,Question,Injeção,113mg
22,Total,Cápsula,211mg
23,May,Injeção,12mg
24,Central,Comprimido,281mg
25,Care,Comprimido,230mg
26,Thus,Xarope,293mg
27,His,Xarope,333mg
28,But,Injeção,232mg
29,Take,Cápsula,120mg
30,Employee,Injeção,176mg
31,Degree,Injeção,322mg
32,Sell,Xarope,98mg
33,Big,Xarope,324mg
34,Thousand,Xarope,131mg
35,Second,Pomada,493mg
36,Yet,Xarope,129mg
37,Can,Comprimido,36mg
38,Agreement,Comprimido,195mg
39,Soldier,Xarope,323mg
40,Worker,Injeção,192mg
41,Today,Cápsula,123mg
42,Expect,Pomada,469mg
43,Too,Cápsula,238mg
44,Listen,Comprimido,391mg
45,Picture,Comprimido,142mg
46,Notice,Pomada,387mg
47,Girl,Xarope,239mg
48,Trial,Xarope,87mg
49,Design,Comprimido,227mg
50,Sound,Comprimido,218mg
51,Nature,Injeção,367mg
52,Dream,Injeção,295mg
53,Let,Injeção,254mg
54,Direction,Pomada,275mg
55,Management,Xarope,451mg
56,Send,Pomada,61mg
57,Why,Injeção,439mg
58,Practice,Cápsula,307mg
59,Fight,Xarope,350mg
60,Many,Xarope,374mg
61,Sea,Comprimido,248mg
62,Debate,Comprimido,122mg
63,Short,Xarope,245mg
64,That,Comprimido,235mg
65,Safe,Pomada,201mg
66,Down,Xarope,261mg
67,Heart,Pomada,41mg
68,Deal,Xarope,217mg
69,Able,Pomada,86mg
70,Appear,Pomada,250mg
71,Despite,Comprimido,32mg
72,Oil,Cápsula,408mg
73,Past,Injeção,220mg
74,Here,Injeção,195mg
75,Entire,Injeção,442mg
76,Pretty,Pomada,442mg
77,Rate,Cápsula,258mg
78,Huge,Comprimido,155mg
79,Law,Pomada,99mg
80,General,Comprimido,439mg
81,Example,Pomada,365mg
82,Hot,Pomada,475mg
83,Loss,Injeção,347mg
84,Health,Pomada,339mg
85,Apply,Xarope,389mg
86,Town,Pomada,184mg
87,Education,Comprimido,341mg
88,Again,Cápsula,154mg
89,Cause,Comprimido,71mg
90,Trip,Pomada,428mg
91,Relationship,Xarope,113mg
92,Recently,Xarope,219mg
93,Foreign,Cápsula,344mg
94,Card,Xarope,229mg
95,Church,Injeção,258mg
96,Single,Pomada,166mg
97,Leader,Comprimido,301mg
98,Receive,Comprimido,338mg
99,Different,Xarope,241mg
100,Sing,Cápsula,273mg
101,Series,Pomada,172mg
102,Today,Comprimido,203mg
103,Side,Cápsula,85mg
104,Result,Injeção,368mg
105,Road,Injeção,123mg
106,Majority,Injeção,336mg
107,Guy,Xarope,460mg
108,Style,Injeção,299mg
109,Can,Pomada,91mg
110,Themselves,Pomada,94mg
111,Else,Pomada,22mg
112,Mouth,Xarope,190mg
113,Early,Comprimido,328mg
114,Environmental,Cápsula,24mg
115,Risk,Xarope,153mg
116,Present,Pomada,436mg
117,Heart,Injeção,495mg
118,Claim,Xarope,15mg
119,Support,Comprimido,98mg
120,Sort,Comprimido,78mg
121,Price,Comprimido,178mg
122,Author,Cápsula,162mg
123,Tell,Cápsula,191mg
124,Politics,Cápsula,49mg
125,Gun,Injeção,106mg
126,Around,Xarope,99mg
127,Rest,Injeção,311mg
128,Cut,Xarope,479mg
129,Generation,Cápsula,216mg
130,Tough,Cápsula,80mg
131,Theory,Injeção,381mg
132,Account,Pomada,321mg
133,Truth,Injeção,48mg
134,Rise,Injeção,22mg
135,Director,Injeção,368mg
136,Actually,Injeção,142mg
137,Apply,Comprimido,78mg
138,Sort,Comprimido,238mg
139,Decide,Injeção,266mg
140,Simple,Pomada,352mg
141,Hotel,Comprimido,339mg
142,Mr,Comprimido,52mg
143,Budget,Xarope,48mg
144,Year,Cápsula,393mg
145,Social,Comprimido,61mg
146,Fire,Injeção,47mg
147,Election,Injeção,33mg
148,Foreign,Xarope,408mg
149,Blue,Pomada,373mg
150,Four,Pomada,268mg
151,Leave,Xarope,294mg
152,Yes,Injeção,478mg
153,Themselves,Injeção,393mg
154,Learn,Cápsula,398mg
155,Enjoy,Cápsula,108mg
156,Appear,Pomada,352mg
157,Something,Pomada,337mg
158,During,Pomada,59mg
159,Start,Cápsula,271mg
160,Idea,Injeção,246mg
161,Represent,Cápsula,393mg
162,Away,Injeção,74mg
163,Worry,Xarope,82mg
164,Either,Xarope,25mg
165,Black,Comprimido,65mg
166,Personal,Injeção,100mg
167,Job,Cápsula,283mg
168,Own,Pomada,347mg
169,Plan,Injeção,461mg
170,Call,Injeção,215mg
171,Use,Xarope,298mg
172,Fish,Cápsula,133mg
173,Surface,Pomada,449mg
174,Daughter,Injeção,355mg
175,Toward,Comprimido,316mg
176,Head,Comprimido,24mg
177,Win,Pomada,393mg
178,Six,Xarope,374mg
179,Serve,Injeção,21mg
180,There,Injeção,77mg
181,Kind,Injeção,280mg
182,Important,Cápsula,35mg
183,Feel,Xarope,484mg
